Atomic Number,Symbol,Period,Group,Electronegativity,Calculated Radius,First Ionization,Core Configuration,Heat of Vapor,Covalent Radius,Heat of Fusion,Bulk Modulus,Boiling Point,Brinell Hardness,Melting Point,STP Density,Young Modulus,Shear Modulus,Vickers Hardness,Name,Common Ions,Second Ionization,Mass,Van der Waals Radius,Specific Heat,Thermal Cond.,Third Ionization,Series,Electron Affinity,Mohs Hardness,Empirical Radius
48,Cd,5,12,1.69,161,867.8,[Kr] 5s2 4d10,100,148,6.3,42,1040,203,594.22,8650,50,19,Unknown,Cadmium,Cd2+,1631.4,112.411,158,230,97,3616,Transition Metal,0,2,155
49,In,5,13,1.78,156,558.3,[Kr] 5s2 4d10 5p1,230,144,3.26,Unknown,2345,8.83,429.75,7310,11,Unknown,Unknown,Indium,In3+,1820.7,114.818,193,233,82,2704,Post-Transition Metal,28.9,1.2,155
50,Sn,5,14,1.96,145,708.6,[Kr] 5s2 4d10 5p2,290,141,7,58,2875,51,505.08,7310,50,18,Unknown,Tin,Sn2+,1411.8,118.71,217,217,67,2943,Post-Transition Metal,107.3,1.5,145
51,Sb,5,15,2.05,133,834,[Kr] 5s2 4d10 5p3,68,138,19.7,42,1860,294,903.78,6697,55,20,Unknown,Antimony,Sb3+,1594.9,121.76,Unknown,207,24,2440,Metalloid,103.2,3,145
52,Te,5,16,2.1,123,869.3,[Kr] 5s2 4d10 5p4,48,135,17.5,65,1261,180,722.66,6240,43,16,Unknown,Tellurium,Te2-,1790,127.6,206,201,3,2698,Metalloid,190.2,2.25,140
53,I,5,17,2.66,115,1008.4,[Kr] 5s2 4d10 5p5,20.9,133,7.76,7.7,457.4,Unknown,386.85,4940,Unknown,Unknown,Unknown,Iodine,I-,1845.9,126.9045,198,429,0.449,3180,Halogen,295.2,Unknown,140
54,Xe,5,18,2.6,108,1170.4,[Kr] 5s2 4d10 5p6,12.64,130,2.3,Unknown,165.1,Unknown,161.3,5.9,Unknown,Unknown,Unknown,Xenon,NA,2046.4,131.293,216,158.32,0.00565,3099.4,Noble Gas,0,Unknown,Unknown
55,Cs,6,1,0.79,298,375.7,[Xe] 6s1,65,225,2.09,1.6,944,0.14,301.59,1879,1.7,Unknown,Unknown,Caesium,Cs+,2234.3,132.9054,Unknown,242,36,3400,Alkali Metal,45.5,0.2,260
56,Ba,6,2,0.89,253,502.9,[Xe] 6s2,140,198,8,9.6,2143,Unknown,1000,3510,13,4.9,Unknown,Barium,Ba2+,965.2,137.327,Unknown,205,18,3600,Alkaline Earth Metal,13.95,1.25,215
57,La,6,3,1.1,Unknown,538.1,[Xe] 6s2 5d1,400,169,6.2,28,3737,363,1193,6146,37,14,491,Lanthanum,NA,1067,138.9055,Unknown,195,13,1850.3,Lanthanoid,48,2.5,195
58,Ce,6,3,1.12,Unknown,534.4,[Xe] 6s2 4f1 5d1,350,Unknown,5.5,22,3633,412,1071,6689,34,14,270,Cerium,Ce3+,1050,140.116,Unknown,192,11,1949,Lanthanoid,50,2.5,185
59,Pr,6,3,1.13,247,527,[Xe] 6s2 4f3,330,Unknown,6.9,29,3563,481,1204,6640,37,15,400,Praseodymium,NA,1020,140.9077,Unknown,193,13,2086,Lanthanoid,50,Unknown,185
60,Nd,6,3,1.14,206,533.1,[Xe] 6s2 4f4,285,Unknown,7.1,32,3373,265,1294,7010,41,16,343,Neodymium,NA,1040,144.242,Unknown,190,17,2130,Lanthanoid,50,Unknown,185
61,Pm,6,3,Unknown,205,540,[Xe] 6s2 4f5,290,Unknown,7.7,33,3273,Unknown,1373,7264,46,18,Unknown,Promethium,NA,1050,145,Unknown,Unknown,15,2150,Lanthanoid,50,Unknown,185
62,Sm,6,3,1.17,238,544.5,[Xe] 6s2 4f6,175,Unknown,8.6,38,2076,441,1345,7353,50,20,412,Samarium,NA,1070,150.36,Unknown,196,13,2260,Lanthanoid,50,Unknown,185
63,Eu,6,3,Unknown,231,547.1,[Xe] 6s2 4f7,175,Unknown,9.2,8.3,1800,Unknown,1095,5244,18,7.9,167,Europium,NA,1085,151.964,Unknown,182,14,2404,Lanthanoid,50,Unknown,185
64,Gd,6,3,1.2,233,593.4,[Xe] 6s2 4f7 5d1,305,Unknown,10,38,3523,Unknown,1586,7901,55,22,570,Gadolinium,NA,1170,157.25,Unknown,240,11,1990,Lanthanoid,50,Unknown,180
